id,name,level,chapter,parent_id
1,"People-centered, innovative, clean, efficient, effective and inclusive delivery of public goods and services ensured",1,5,1
84,Anti-corruption intiatives improved,2,5,1
85,Seamless service delivery achieved,2,5,1
151,Proportion of children under 5 years of age whose births have been registered with a civil authority increased (%),3,5,85
152,Number of regulatory agencies covered by the regulatory review increased,3,5,85
153,Number of OFW Helpdesks (OHDs) available increased,3,5,85
86,Administrative governance enhanced,2,5,1
154,Rightsizing the National Government Act of 2017 passed,3,5,86
155,"Proportion of LGUs adopting PFM improvement measures (cumulative, %)",3,5,86
87,Citizenry fully engaged and empowered,2,5,1
156,Number of voters' education and information campaigns conducted increased,3,5,87
157,"Percentage of PCMs with the required NGO representation in the Local Development Council (including ARMM) increased:
- Provinces;
- Cities;
- Municipalities; and
- All NGAs fully complying with the Transparency Seal",3,5,87
158,"Number of PCMs fully disclosing financial documents to the public:
- Provinces;
- Cities; and
- Municipalities",3,5,87
88,Civil service accountability and performance management enhanced,2,5,1
2,Swift and fair administration of justice ensured,1,6,2
89,"Civil, criminal, commercial and administrative justice systems enhanced",2,6,2
159,Number of justice zones established increased,3,6,89
160,Number of courts with rolled-out continous trial increased,3,6,89
161,Number of courts with rolled-out e-courts increased,3,6,89
162,Philippine Mediation Center (PMC) units established,3,6,89
90,Sector efficiency and accountability improved,2,6,2
163,Percentage of qualified inmates (based on court orders for release) in city/municipal/district jails released on time maintained,3,6,90
164,Percentage of qualified inmates (granted parole/pardon and served sentence) in national prisons released on time maintained,3,6,90
165,Prosecutor to court ratio improved (cumulative),3,6,90
166,Public attorney to court ratio improved (cumulative),3,6,90
167,All requests for free legal assistance/representation acted upon within three (3) working days from date of request maintained (%),3,6,90
168,Victims Compensation Program beneficiaries increased,3,6,90
3,Philippine culture and values promoted,1,7,3
91,-,2,7,3
169,Enhanced tolerance and respecting for others,3,7,91
170,Heightened pride of place and pride of being Filipino,3,7,91
171,Distribution of cultural infrastructure improved,3,7,91
134,Diverse cultures valued,2,7,3
172,Number of declared heritage and historical structures with completed State of Conservation reports (SOCs) increased,3,7,134
326,Number of documentations conducted on Philippine intangible cultural heritage and indigenous knowledge systems and practices increased,3,7,134
135,"""Pagkamalikhain"" values of creative excellence advanced ",2,7,3
